# packages in environment at /home/thanos/anaconda3/envs/apcconda312:
#
# Name                    Version                   Build  Channel
_anaconda_depends         2025.06             py312_mkl_2  
confluent-kafka           2.11.1                   pypi_0    pypi
constantly                23.10.4         py312h06a4308_0  
contourpy                 1.3.3           py312hd9148b4_1    conda-forge
cookiecutter              2.6.0              pyhd8ed1ab_1    conda-forge
coverage                  7.10.5          py312h8a5da7c_0    conda-forge
cpython                   3.12.11         py312hd8ed1ab_0    conda-forge
croniter                  6.0.0                    pypi_0    pypi
cryptography              45.0.6          py312hee9fe19_0    conda-forge
cssselect                 1.3.0              pyhd8ed1ab_0    conda-forge
cuda-cccl_linux-64        13.0.50              ha770c72_0    conda-forge
cuda-cudart-dev_linux-64  13.0.48              h376f20c_0    conda-forge
cuda-cudart-static_linux-64 13.0.48              h376f20c_0    conda-forge
cuda-cudart_linux-64      13.0.48              h376f20c_0    conda-forge
cuda-nvrtc                13.0.48              hecca717_0    conda-forge
cuda-version              13.0                 hc7b4dd1_3    conda-forge
cupy                      13.6.0          py312h045ee1a_0    conda-forge
cupy-core                 13.6.0          py312ha81282d_0    conda-forge
curl                      8.9.1                hdbd6064_0  
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
cymem                     2.0.11          py312h1289d80_1    conda-forge
cyrus-sasl                2.1.28               h52b45da_1  
cython-blis               1.3.0           py312hc0a28a1_0    conda-forge
cytoolz                   1.0.1           py312h66e93f0_0    conda-forge
dash                      3.2.0                    pypi_0    pypi
dask                      2025.7.0           pyhe01879c_0    conda-forge
dask-core                 2025.7.0           pyhe01879c_1    conda-forge
dask-expr                 2.0.0              pyhd8ed1ab_0    conda-forge
dataclasses               0.8                pyhc8e2a94_3    conda-forge
datasets                  2.2.1              pyhd8ed1ab_0    conda-forge
datashader                0.18.2             pyhd8ed1ab_0    conda-forge
dav1d                     1.2.1                hd590300_0    conda-forge
dbus                      1.13.18              hb2f20db_0  
debugpy                   1.8.16          py312h8285ef7_0    conda-forge
decorator                 5.2.1              pyhd8ed1ab_0    conda-forge
deepdiff                  8.6.0              pyhe01879c_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
deprecated                1.2.18             pyhd8ed1ab_0    conda-forge
diff-match-patch          20241021           pyhd8ed1ab_1    conda-forge
dill                      0.4.0              pyhd8ed1ab_0    conda-forge
distlib                   0.4.0                    pypi_0    pypi
distributed               2025.7.0           pyhe01879c_0    conda-forge
distro                    1.9.0              pyhd8ed1ab_1    conda-forge
django                    5.2.5              pyhd8ed1ab_0    conda-forge
dnspython                 2.7.0                    pypi_0    pypi
docstring-to-markdown     0.17               pyhe01879c_0    conda-forge
docutils                  0.21.2             pyhd8ed1ab_1    conda-forge
duckdb                    1.3.2                hca7485f_0    conda-forge
easygui                   0.98.3                   pypi_0    pypi
ebcdic                    1.1.1                    pypi_0    pypi
elastic-transport         9.1.0                    pypi_0    pypi
elasticsearch             9.1.0                    pypi_0    pypi
email-validator           2.2.0                    pypi_0    pypi
et_xmlfile                2.0.0              pyhd8ed1ab_1    conda-forge
exceptiongroup            1.3.0              pyhd8ed1ab_0    conda-forge
executing                 2.2.0              pyhd8ed1ab_0    conda-forge
expat                     2.7.1                hecca717_0    conda-forge
extract-msg               0.55.0                   pypi_0    pypi
faker                     37.6.0             pyhd8ed1ab_0    conda-forge
fastapi                   0.116.1                  pypi_0    pypi
fastapi-cli               0.0.8                    pypi_0    pypi
fastapi-cloud-cli         0.1.5                    pypi_0    pypi
fastrlock                 0.8.3           py312h6edf5ed_1    conda-forge
faust                     1.10.4                   pypi_0    pypi
filelock                  3.19.1             pyhd8ed1ab_0    conda-forge
fire                      0.7.0              pyhd8ed1ab_0    conda-forge
flake8                    7.1.2              pyhd8ed1ab_0    conda-forge
flask                     3.1.2              pyhd8ed1ab_0    conda-forge
flask-cors                6.0.1              pyhe01879c_0    conda-forge
flatbuffers               25.2.10                  pypi_0    pypi
fmt                       9.1.0                h924138e_0    conda-forge
fontconfig                2.14.2               h14ed4e7_0    conda-forge
fonttools                 4.59.2          py312h8a5da7c_0    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_1    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
frozendict                2.4.6           py312h4c3975b_1    conda-forge
frozenlist                1.7.0           py312h447239a_0    conda-forge
fsspec                    2025.7.0           pyhd8ed1ab_0    conda-forge
gast                      0.6.0              pyhd8ed1ab_0    conda-forge
gensim                    4.3.3           py312h526ad5a_0  
gflags                    2.2.2             h5888daf_1005    conda-forge
ghp-import                2.1.0              pyhd8ed1ab_2    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
gitdb                     4.0.12             pyhd8ed1ab_0    conda-forge
gitpython                 3.1.45             pyhff2d567_0    conda-forge
glib                      2.80.2               hf974151_0    conda-forge
glib-tools                2.80.2               hb6ce0ca_0    conda-forge
glog                      0.5.0                h48cff8f_0    conda-forge
gmp                       6.3.0                hac33072_2    conda-forge
gmpy2                     2.2.1           py312h7201bc8_0    conda-forge
google-api-core           2.25.1             pyhd8ed1ab_0    conda-forge
google-api-python-client  2.179.0            pyhff2d567_0    conda-forge
google-auth               2.40.3             pyhd8ed1ab_0    conda-forge
google-auth-httplib2      0.2.0              pyhd8ed1ab_1    conda-forge
google-pasta              0.2.0                    pypi_0    pypi
googleapis-common-protos  1.70.0             pyhd8ed1ab_0    conda-forge
greenlet                  3.2.4           py312h1289d80_0    conda-forge
griffe                    1.13.0             pyhd8ed1ab_0    conda-forge
grpcio                    1.74.0                   pypi_0    pypi
gst-plugins-base          1.14.1               h6a678d5_1  
gstreamer                 1.14.1               h5eee18b_1  
gunicorn                  23.0.0                   pypi_0    pypi
h11                       0.16.0             pyhd8ed1ab_0    conda-forge
h2                        4.3.0              pyhcf101f3_0    conda-forge
h5py                      3.13.0          nompi_py312hedeef09_100    conda-forge
hdf5                      1.14.3          nompi_hdf9ad27_105    conda-forge
heapdict                  1.0.1              pyhd8ed1ab_2    conda-forge
hf-xet                    1.1.8            py39h598437d_0    conda-forge
holoviews                 1.21.0             pyhd8ed1ab_0    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
html5lib                  1.1                pyhd8ed1ab_2    conda-forge
httpcore                  1.0.9              pyh29332c3_0    conda-forge
httplib2                  0.22.0             pyhd8ed1ab_1    conda-forge
httptools                 0.6.4                    pypi_0    pypi
httpx                     0.28.1             pyhd8ed1ab_0    conda-forge
huggingface_hub           0.34.4             pyhd8ed1ab_1    conda-forge
hvplot                    0.12.0             pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
hyperlink                 21.0.0             pyh29332c3_1    conda-forge
icu                       73.2                 h59595ed_0    conda-forge
id                        1.5.0              pyh29332c3_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
imagecodecs               2023.1.23       py312h81b8100_1  
imageio                   2.37.0             pyhfb79c49_0    conda-forge
imagesize                 1.4.1              pyhd8ed1ab_0    conda-forge
imbalanced-learn          0.14.0             pyhd8ed1ab_0    conda-forge
importlib-metadata        8.7.0              pyhe01879c_1    conda-forge
importlib_resources       6.5.2              pyhd8ed1ab_0    conda-forge
incremental               24.7.2             pyhd8ed1ab_1    conda-forge
inflection                0.5.1              pyhd8ed1ab_1    conda-forge
influxdb-client           1.49.0                   pypi_0    pypi
iniconfig                 2.0.0              pyhd8ed1ab_1    conda-forge
intake                    2.0.8              pyhd8ed1ab_0    conda-forge
intel-openmp              2025.0.0          h06a4308_1171  
intervaltree              3.1.0              pyhd8ed1ab_1    conda-forge
ipydatagrid               1.4.0              pyhcf101f3_2    conda-forge
ipykernel                 6.30.1             pyh82676e8_0    conda-forge
ipython                   8.37.0             pyh8f84b5b_0    conda-forge
ipython_genutils          0.2.0              pyhd8ed1ab_2    conda-forge
ipywidgets                8.1.7              pyhd8ed1ab_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_1    conda-forge
isort                     6.0.1              pyhd8ed1ab_1    conda-forge
itemadapter               0.12.1             pyhd8ed1ab_0    conda-forge
itemloaders               1.3.2              pyhd8ed1ab_1    conda-forge
itsdangerous              2.2.0              pyhd8ed1ab_1    conda-forge
jaraco.classes            3.4.0              pyhd8ed1ab_2    conda-forge
jaraco.context            6.0.1              pyhd8ed1ab_0    conda-forge
jaraco.functools          4.3.0              pyhd8ed1ab_0    conda-forge
jedi                      0.19.2             pyhd8ed1ab_1    conda-forge
jeepney                   0.9.0              pyhd8ed1ab_0    conda-forge
jellyfish                 1.1.3           py312h12e396e_0    conda-forge
jinja2                    3.1.6              pyhd8ed1ab_0    conda-forge
jmespath                  1.0.1              pyhd8ed1ab_1    conda-forge
joblib                    1.5.2              pyhd8ed1ab_0    conda-forge
jpeg                      9e                   h0b41bf4_3    conda-forge
jplephem                  2.23               pyha4b2019_0    conda-forge
jproperties               2.1.2              pyhd8ed1ab_1    conda-forge
jq                        1.8.1                h73b1eb8_0    conda-forge
json5                     0.12.1             pyhd8ed1ab_0    conda-forge
jsonpatch                 1.33               pyhd8ed1ab_1    conda-forge
jsonpointer               3.0.0           py312h7900ff3_1    conda-forge
jsonschema                4.25.1             pyhe01879c_0    conda-forge
jsonschema-specifications 2025.4.1           pyh29332c3_0    conda-forge
jsonschema-with-format-nongpl 4.25.1               he01879c_0    conda-forge
jupyter                   1.1.1              pyhd8ed1ab_1    conda-forge
jupyter-lsp               2.3.0              pyhcf101f3_0    conda-forge
jupyter_client            8.6.3              pyhd8ed1ab_1    conda-forge
jupyter_console           6.6.3              pyhd8ed1ab_1    conda-forge
jupyter_core              5.8.1              pyh31011fe_0    conda-forge
jupyter_events            0.12.0             pyh29332c3_0    conda-forge
jupyter_server            2.17.0             pyhcf101f3_0    conda-forge
jupyter_server_terminals  0.5.3              pyhd8ed1ab_1    conda-forge
jupyterlab                4.4.6              pyhd8ed1ab_0    conda-forge
jupyterlab-variableinspector 3.2.4              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_2    conda-forge
jupyterlab_server         2.27.3             pyhd8ed1ab_1    conda-forge
jupyterlab_widgets        3.0.15             pyhd8ed1ab_0    conda-forge
jxrlib                    1.1                  hd590300_3    conda-forge
kafka-python              1.4.7                    pypi_0    pypi
keras                     3.11.3                   pypi_0    pypi
keyring                   25.6.0             pyha804496_0    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
kiwisolver                1.4.9           py312h0a2e395_0    conda-forge
kombu                     5.5.4              pyha770c72_0    conda-forge
krb5                      1.20.1               h81ceb04_0    conda-forge
langchain                 0.3.27          pymin312_hff2d567_0    conda-forge
langchain-core            0.3.75             pyhd8ed1ab_0    conda-forge
langchain-text-splitters  0.3.10             pyhd8ed1ab_0    conda-forge
langcodes                 3.4.1              pyhd8ed1ab_1    conda-forge
langsmith                 0.3.45             pyhd8ed1ab_1    conda-forge
language-data             1.3.0              pyhff2d567_0    conda-forge
lark                      1.1.9                    pypi_0    pypi
lazy-loader               0.4                pyhd8ed1ab_2    conda-forge
lazy-object-proxy         1.12.0          py312h4c3975b_0    conda-forge
lazy_loader               0.4                pyhd8ed1ab_2    conda-forge
lcms2                     2.15                 hfd0df8a_0    conda-forge
ld_impl_linux-64          2.44                 h1423503_1    conda-forge
lerc                      3.0                  h9c3ff4c_0    conda-forge
libabseil                 20240116.2      cxx17_he02047a_1    conda-forge
libaec                    1.1.4                h3f801dc_0    conda-forge
libarchive                3.6.2                h3d51595_0    conda-forge
libavif                   0.11.1               h8182462_2    conda-forge
libblas                   3.9.0            20_linux64_mkl    conda-forge
libboost                  1.85.0               hba137d9_2    conda-forge
libboost-devel            1.85.0               h00ab1b0_2    conda-forge
libboost-headers          1.85.0               ha770c72_2    conda-forge
libbrotlicommon           1.0.9                h166bdaf_9    conda-forge
libbrotlidec              1.0.9                h166bdaf_9    conda-forge
libbrotlienc              1.0.9                h166bdaf_9    conda-forge
libcblas                  3.9.0            20_linux64_mkl    conda-forge
libclang                  18.1.1                   pypi_0    pypi
libclang13                14.0.6          default_h9986a30_1    conda-forge
libcublas                 13.0.0.19            h676940d_0    conda-forge
libcufft                  12.0.0.15            hecca717_0    conda-forge
libcups                   2.4.2                h2d74bed_1  
libcurand                 10.4.0.35            h676940d_0    conda-forge
libcurl                   8.9.1                h251f7ec_0  
libcusolver               12.0.3.29            h676940d_0    conda-forge
libcusparse               12.6.2.49            hecca717_0    conda-forge
libdeflate                1.17                 h0b41bf4_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.4.6                h2dba641_1    conda-forge
libgcc                    15.1.0               h767d61c_4    conda-forge
libgcc-ng                 15.1.0               h69a702a_4    conda-forge
libgfortran-ng            7.5.0               h14aa051_20    conda-forge
libgfortran4              7.5.0               h14aa051_20    conda-forge
libgfortran5              15.1.0               hcea5267_4    conda-forge
libglib                   2.80.2               hf974151_0    conda-forge
libgomp                   15.1.0               h767d61c_4    conda-forge
libgrpc                   1.62.2               h2d74bed_0  
libhwloc                  2.9.1                hd6dc26d_0    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
liblapack                 3.9.0            20_linux64_mkl    conda-forge
liblief                   0.16.6               h5888daf_0    conda-forge
libllvm14                 14.0.6               hcd5def8_4    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
liblzma-devel             5.8.1                hb9d3cd8_2    conda-forge
libmamba                  1.5.8                hfe524e5_2  
libmambapy                1.5.8           py312h2dafd23_2  
libnghttp2                1.58.0               h47da74e_1    conda-forge
libnsl                    2.0.1                hb9d3cd8_1    conda-forge
libnvjitlink              13.0.39              hecca717_0    conda-forge
libpng                    1.6.43               h2797004_0    conda-forge
libpq                     12.17                hdbd6064_0  
libprotobuf               4.25.3               h08a7969_0    conda-forge
libsodium                 1.0.18               h36c2ea0_1    conda-forge
libsolv                   0.7.29               ha6fb4c9_0    conda-forge
libspatialindex           2.1.0                he57a185_0    conda-forge
libsqlite                 3.46.0               hde9e2c9_0    conda-forge
libssh2                   1.11.0               h0841786_0    conda-forge
libstdcxx                 15.1.0               h8f9b012_4    conda-forge
libstdcxx-ng              15.1.0               h4852527_4    conda-forge
libthrift                 0.15.0               h1795dd8_2  
libtiff                   4.5.1                h6a678d5_0  
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxgboost                3.0.4            cpu_h2ebb00f_0    conda-forge
libxkbcommon              1.0.3                he3ba5ed_0    conda-forge
libxml2                   2.10.4               hfdd30dd_2  
libxslt                   1.1.37               h873f0b0_0    conda-forge
libzlib                   1.2.13               h4ab18f5_6    conda-forge
libzopfli                 1.0.3                h9c3ff4c_0    conda-forge
linkify-it-py             2.0.3              pyhd8ed1ab_1    conda-forge
llvm-openmp               20.1.8               h4922eb0_0    conda-forge
llvmlite                  0.43.0          py312h6a678d5_0  
locket                    1.0.0              pyhd8ed1ab_0    conda-forge
loguru                    0.7.3              pyh707e725_0    conda-forge
lxml                      5.2.1           py312hdbbb534_0  
lz4                       4.3.3           py312hb3f7f12_1    conda-forge
lz4-c                     1.9.4                hcb278e6_0    conda-forge
lzo                       2.10              h280c20c_1002    conda-forge
mako                      1.3.10             pyhd8ed1ab_0    conda-forge
marisa-trie               1.2.1           py312h2ec8cdc_0    conda-forge
markdown                  3.8.2              pyhd8ed1ab_0    conda-forge
markdown-it-py            4.0.0              pyhd8ed1ab_0    conda-forge
markupsafe                3.0.2           py312h178313f_1    conda-forge
matplotlib                3.9.2           py312h06a4308_0  
matplotlib-base           3.9.2           py312hd3ec401_2    conda-forge
matplotlib-inline         0.1.7              pyhd8ed1ab_1    conda-forge
mbedtls                   3.6.3.1              h5888daf_0    conda-forge
mccabe                    0.7.0              pyhd8ed1ab_1    conda-forge
mdit-py-plugins           0.5.0              pyhd8ed1ab_0    conda-forge
mdurl                     0.1.2              pyhd8ed1ab_1    conda-forge
menuinst                  2.3.1           py312h7900ff3_1    conda-forge
mergedeep                 1.3.4              pyhd8ed1ab_1    conda-forge
mistune                   3.1.3              pyh29332c3_0    conda-forge
mkdocs                    1.6.1              pyhd8ed1ab_1    conda-forge
mkdocs-autorefs           1.4.3              pyhd8ed1ab_0    conda-forge
mkdocs-get-deps           0.2.0              pyhd8ed1ab_1    conda-forge
mkdocs-material           9.6.18             pyhcf101f3_0    conda-forge
mkdocs-material-extensions 1.3.1              pyhd8ed1ab_1    conda-forge
mkdocstrings              0.30.0             pyhd8ed1ab_0    conda-forge
mkdocstrings-python       1.18.0             pyh332efcf_0    conda-forge
mkl                       2023.2.0         h84fe81f_50496    conda-forge
mkl-service               2.4.1           py312hb582d3c_1    conda-forge
mkl_fft                   1.3.10          py312h8a8eec4_1    conda-forge
mkl_random                1.2.8           py312h11ce345_0    conda-forge
ml-dtypes                 0.5.3                    pypi_0    pypi
mode                      4.3.2                    pypi_0    pypi
more-itertools            10.7.0             pyhd8ed1ab_0    conda-forge
mpc                       1.3.1                h24ddda3_1    conda-forge
mpfr                      4.2.1                h90cbb55_3    conda-forge
mpmath                    1.3.0              pyhd8ed1ab_1    conda-forge
msal                      1.33.0             pyhd8ed1ab_0    conda-forge
msgpack-python            1.1.1           py312h68727a3_0    conda-forge
msoffcrypto-tool          5.4.2                    pypi_0    pypi
multidict                 6.6.3           py312h178313f_0    conda-forge
multipledispatch          0.6.0              pyhd8ed1ab_1    conda-forge
multiprocess              0.70.18         py312h5253ce2_1    conda-forge
munkres                   1.1.4              pyhd8ed1ab_1    conda-forge
murmurhash                1.0.13          py312h8285ef7_0    conda-forge
mypy                      1.17.1          py312h4c3975b_1    conda-forge
mypy_extensions           1.1.0              pyha770c72_0    conda-forge
mysql                     5.7.24               h721c034_2  
mysql-common              8.3.0                hf1915f5_4    conda-forge
mysql-connector-python    8.3.0           py312hb06c811_0    conda-forge
mysql-libs                8.3.0                hca2cd23_4    conda-forge
namex                     0.1.0                    pypi_0    pypi
narwhals                  2.2.0              pyhcf101f3_0    conda-forge
nbclient                  0.10.2             pyhd8ed1ab_0    conda-forge
nbconvert                 7.16.6               hb482800_0    conda-forge
nbconvert-core            7.16.6             pyh29332c3_0    conda-forge
nbconvert-pandoc          7.16.6               hed9df3c_0    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_1    conda-forge
ncurses                   6.5                  h2d0b736_3    conda-forge
neo4j                     5.28.2                   pypi_0    pypi
neomodel                  5.5.0                    pypi_0    pypi
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
networkx                  3.5                pyhe01879c_0    conda-forge
nh3                       0.3.0            py39hd511f7d_0    conda-forge
nltk                      3.9.1              pyhd8ed1ab_1    conda-forge
notebook                  7.4.5              pyhd8ed1ab_0    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_1    conda-forge
nspr                      4.37                 h29cc59b_0    conda-forge
nss                       3.100                hca3bf56_0    conda-forge
numba                     0.60.0          py312h83e6fd3_0    conda-forge
numexpr                   2.10.1          mkl_py312h791fadb_2    conda-forge
numpy                     1.26.4          py312hc5e2394_0  
numpy-base                1.26.4          py312h0da6c21_0  
numpydoc                  1.9.0              pyhe01879c_1    conda-forge
nvidia-cublas-cu12        12.8.4.1                 pypi_0    pypi
nvidia-cuda-cupti-cu12    12.8.90                  pypi_0    pypi
nvidia-cuda-nvcc-cu12     12.9.86                  pypi_0    pypi
nvidia-cuda-nvrtc-cu12    12.8.93                  pypi_0    pypi
nvidia-cuda-runtime-cu12  12.8.90                  pypi_0    pypi
nvidia-cudnn-cu12         9.10.2.21                pypi_0    pypi
nvidia-cufft-cu12         11.3.3.83                pypi_0    pypi
nvidia-cufile-cu12        1.13.1.3                 pypi_0    pypi
nvidia-curand-cu12        10.3.9.90                pypi_0    pypi
nvidia-cusolver-cu12      11.7.3.90                pypi_0    pypi
nvidia-cusparse-cu12      12.5.8.93                pypi_0    pypi
nvidia-cusparselt-cu12    0.7.1                    pypi_0    pypi
nvidia-nccl-cu12          2.27.3                   pypi_0    pypi
nvidia-nvjitlink-cu12     12.8.93                  pypi_0    pypi
nvidia-nvtx-cu12          12.8.90                  pypi_0    pypi
oauth2client              4.1.3              pyhd8ed1ab_1    conda-forge
office365-rest-python-client 2.6.2              pyhff2d567_0    conda-forge
olefile                   0.47                     pypi_0    pypi
oletools                  0.60.2                   pypi_0    pypi
oniguruma                 6.9.10               hb9d3cd8_0    conda-forge
opencensus                0.11.4                   pypi_0    pypi
opencensus-context        0.1.3                    pypi_0    pypi
openjpeg                  2.5.2                he7f1fd0_0  
openpyxl                  3.1.5           py312h710cb58_1    conda-forge
openssl                   3.5.2                h26f9b46_0    conda-forge
opentelemetry-api         1.36.0             pyhd8ed1ab_0    conda-forge
opentelemetry-exporter-prometheus 0.57b0                   pypi_0    pypi
